app;duration;power
gen/rundadd.sh;1009;12114410
gen/runimul.sh;1012;11607636
gen/runv1x4smul_SIMD.sh;1006;8824562
gen/runshift.sh;1006;11636017
gen/rundmem64_SIMD.sh;1009;11311189
gen/runm4x4smul_SIMD.sh;1011;9988439
gen/rundsub64_SIMD.sh;1007;15084068
gen/runvconvert_SIMD.sh;1012;13111356
gen/rundmul64_SIMD.sh;1010;10162328
gen/runicompare.sh;1012;14495873
gen/rundmem.sh;1017;1303708
gen/runimem.sh;1006;12631559
gen/runm4x4smul.sh;99;-5530930
gen/runssub32_SIMD.sh;3;-3089836
gen/runnop.sh;1006;11512360
gen/runbranch.sh;1009;9579322
gen/runsmem32_SIMD.sh;4;-2690667
gen/runsmul32_SIMD.sh;1008;13469570
gen/.;1;-2482110
gen/rundmul.sh;1010;14282922
gen/runiadd.sh;1008;5248949
gen/runlogic.sh;1014;11953643
gen/runbitbyte.sh;1007;13602077
gen/..;0;-8189493
gen/runvmov_SIMD.sh;1013;13908716
gen/runimov.sh;1007;11198457
