app;duration;power
gen/rundadd.sh;1016;17941299
gen/runimul.sh;1025;17855240
gen/runv1x4smul_SIMD.sh;1017;17952286
gen/runshift.sh;1022;17858169
gen/rundmem64_SIMD.sh;1014;17310197
gen/runm4x4smul_SIMD.sh;1014;17502641
gen/rundsub64_SIMD.sh;1011;18058608
gen/runvconvert_SIMD.sh;1017;17843460
gen/rundmul64_SIMD.sh;1021;18100478
gen/runicompare.sh;1024;18395888
gen/rundmem.sh;1022;12793912
gen/runimem.sh;1010;23096072
gen/runm4x4smul.sh;137;3028008
gen/runnop.sh;1018;17843827
gen/runbranch.sh;1020;18096207
gen/rundmul.sh;1017;18025222
gen/runiadd.sh;1014;17949478
gen/runlogic.sh;1025;18098465
gen/runbitbyte.sh;1017;18189345
gen/runvmov_SIMD.sh;1019;18034377
gen/runimov.sh;1018;17965775
