app;duration;power;leistung
scripts/edgedetection/runEdgedetection_writeimage.sh;548;2296869;4191
scripts/edgedetection/runEdgedetection_writeimage.sh;145;1706538;11769
scripts/edgedetection/runEdgedetection_writeimage.sh;146;1663082;11390
scripts/edgedetection/runEdgedetection_writeimage.sh;147;1601680;10895
scripts/edgedetection/runEdgedetection_writeimage.sh;150;1580684;10537
scripts/edgedetection/runEdgedetection_writeimage.sh;148;1595883;10782
scripts/edgedetection/runEdgedetection_writeimage.sh;147;1596553;10860
scripts/edgedetection/runEdgedetection_writeimage.sh;148;1632381;11029
scripts/edgedetection/runEdgedetection_writeimage.sh;147;1589474;10812
scripts/edgedetection/runEdgedetection_writeimage.sh;147;1615902;10992

scripts/edgedetection/runEdgedetection_sobelh.sh;2607;35557404;13639
scripts/edgedetection/runEdgedetection_sobelh.sh;2598;36203337;13935
scripts/edgedetection/runEdgedetection_sobelh.sh;2614;36418791;13932
scripts/edgedetection/runEdgedetection_sobelh.sh;2616;36818570;14074
scripts/edgedetection/runEdgedetection_sobelh.sh;2609;36679411;14058
scripts/edgedetection/runEdgedetection_sobelh.sh;2595;36804716;14182
scripts/edgedetection/runEdgedetection_sobelh.sh;2603;36813443;14142
scripts/edgedetection/runEdgedetection_sobelh.sh;2598;36527250;14059
scripts/edgedetection/runEdgedetection_sobelh.sh;2600;36789152;14149
scripts/edgedetection/runEdgedetection_sobelh.sh;2599;36566984;14069

scripts/edgedetection/runEdgedetection_sharpencontrast.sh;1499;22157597;14781
scripts/edgedetection/runEdgedetection_sharpencontrast.sh;1489;21625738;14523
scripts/edgedetection/runEdgedetection_sharpencontrast.sh;1490;21704596;14566
scripts/edgedetection/runEdgedetection_sharpencontrast.sh;1490;22066594;14809
scripts/edgedetection/runEdgedetection_sharpencontrast.sh;1489;21719060;14586
scripts/edgedetection/runEdgedetection_sharpencontrast.sh;1491;21616155;14497
scripts/edgedetection/runEdgedetection_sharpencontrast.sh;1490;21827093;14649
scripts/edgedetection/runEdgedetection_sharpencontrast.sh;1491;21667486;14532
scripts/edgedetection/runEdgedetection_sharpencontrast.sh;1503;22599490;15036
scripts/edgedetection/runEdgedetection_sharpencontrast.sh;1489;21581183;14493

scripts/edgedetection/runEdgedetection_greyscale.sh;1363;21052192;15445
scripts/edgedetection/runEdgedetection_greyscale.sh;1348;20775399;15412
scripts/edgedetection/runEdgedetection_greyscale.sh;1346;20657051;15346
scripts/edgedetection/runEdgedetection_greyscale.sh;1348;20971260;15557
scripts/edgedetection/runEdgedetection_greyscale.sh;1347;20727242;15387
scripts/edgedetection/runEdgedetection_greyscale.sh;1349;21118110;15654
scripts/edgedetection/runEdgedetection_greyscale.sh;1352;20888496;15450
scripts/edgedetection/runEdgedetection_greyscale.sh;1346;20547921;15265
scripts/edgedetection/runEdgedetection_greyscale.sh;1346;20591134;15298
scripts/edgedetection/runEdgedetection_greyscale.sh;1347;20699104;15366

scripts/edgedetection/runEdgedetection_copyimage.sh;244;3414115;13992
scripts/edgedetection/runEdgedetection_copyimage.sh;234;3358023;14350
scripts/edgedetection/runEdgedetection_copyimage.sh;233;3340750;14337
scripts/edgedetection/runEdgedetection_copyimage.sh;234;3249564;13887
scripts/edgedetection/runEdgedetection_copyimage.sh;235;3306144;14068
scripts/edgedetection/runEdgedetection_copyimage.sh;235;3414237;14528
scripts/edgedetection/runEdgedetection_copyimage.sh;234;3241996;13854
scripts/edgedetection/runEdgedetection_copyimage.sh;234;3269156;13970
scripts/edgedetection/runEdgedetection_copyimage.sh;234;3324455;14207
scripts/edgedetection/runEdgedetection_copyimage.sh;235;3291678;14007

scripts/edgedetection/runEdgedetection_combineimgs.sh;1065;15606955;14654
scripts/edgedetection/runEdgedetection_combineimgs.sh;1067;15465354;14494
scripts/edgedetection/runEdgedetection_combineimgs.sh;1067;15659872;14676
scripts/edgedetection/runEdgedetection_combineimgs.sh;1068;15684103;14685
scripts/edgedetection/runEdgedetection_combineimgs.sh;1076;15426779;14337
scripts/edgedetection/runEdgedetection_combineimgs.sh;1067;15498556;14525
scripts/edgedetection/runEdgedetection_combineimgs.sh;1067;15360374;14395
scripts/edgedetection/runEdgedetection_combineimgs.sh;1067;15583701;14605
scripts/edgedetection/runEdgedetection_combineimgs.sh;1068;15636618;14641
scripts/edgedetection/runEdgedetection_combineimgs.sh;1070;15609213;14588

scripts/edgedetection/runEdgedetection_sobelv.sh;5272;74103264;14056
scripts/edgedetection/runEdgedetection_sobelv.sh;5288;73204402;13843
scripts/edgedetection/runEdgedetection_sobelv.sh;5296;73121150;13806
scripts/edgedetection/runEdgedetection_sobelv.sh;5296;73611567;13899
scripts/edgedetection/runEdgedetection_sobelv.sh;5299;73166377;13807
scripts/edgedetection/runEdgedetection_sobelv.sh;5292;72334531;13668
scripts/edgedetection/runEdgedetection_sobelv.sh;5269;72918758;13839
scripts/edgedetection/runEdgedetection_sobelv.sh;5262;72910031;13855
scripts/edgedetection/runEdgedetection_sobelv.sh;5295;73586603;13897
scripts/edgedetection/runEdgedetection_sobelv.sh;5264;72887325;13846

scripts/edgedetection/runEdgedetection_checkcontrast.sh;88;815672;9269
scripts/edgedetection/runEdgedetection_checkcontrast.sh;84;626768;7461
scripts/edgedetection/runEdgedetection_checkcontrast.sh;84;637815;7593
scripts/edgedetection/runEdgedetection_checkcontrast.sh;84;702207;8359
scripts/edgedetection/runEdgedetection_checkcontrast.sh;84;695737;8282
scripts/edgedetection/runEdgedetection_checkcontrast.sh;85;602660;7090
scripts/edgedetection/runEdgedetection_checkcontrast.sh;84;630431;7505
scripts/edgedetection/runEdgedetection_checkcontrast.sh;84;622862;7415
scripts/edgedetection/runEdgedetection_checkcontrast.sh;84;696043;8286
scripts/edgedetection/runEdgedetection_checkcontrast.sh;84;617858;7355

scripts/edgedetection/runEdgedetection_AllTasks.sh;13042;186223400;14278
scripts/edgedetection/runEdgedetection_AllTasks.sh;12953;187769966;14496
scripts/edgedetection/runEdgedetection_AllTasks.sh;12938;186721873;14432
scripts/edgedetection/runEdgedetection_AllTasks.sh;12987;185416701;14277
scripts/edgedetection/runEdgedetection_AllTasks.sh;12942;184126665;14227
scripts/edgedetection/runEdgedetection_AllTasks.sh;12939;187385080;14482
scripts/edgedetection/runEdgedetection_AllTasks.sh;12982;187707283;14459
scripts/edgedetection/runEdgedetection_AllTasks.sh;12949;187982979;14517
scripts/edgedetection/runEdgedetection_AllTasks.sh;13029;185234572;14217
scripts/edgedetection/runEdgedetection_AllTasks.sh;12947;187435251;14477

