x;y;z
In AppTask search/appseq/sobelv.seq(228) sind aus ProtTask search/taskseq/nop.seq (1999)  222 Einträge vorhanden!
In AppTask search/appseq/sobelv.seq(228) sind aus ProtTask search/taskseq/vconvert_SIMD.seq (2090)  221 Einträge vorhanden!
In AppTask search/appseq/sobelv.seq(228) sind aus ProtTask search/taskseq/imov.seq (1996)  221 Einträge vorhanden!
In AppTask search/appseq/sobelv.seq(228) sind aus ProtTask search/taskseq/imem.seq (2080)  221 Einträge vorhanden!
In AppTask search/appseq/sobelv.seq(228) sind aus ProtTask search/taskseq/icompare.seq (2095)  221 Einträge vorhanden!
In AppTask search/appseq/sobelv.seq(228) sind aus ProtTask search/taskseq/branch.seq (1997)  221 Einträge vorhanden!
In AppTask search/appseq/sobelv.seq(228) sind aus ProtTask search/taskseq/bitbyte.seq (2037)  221 Einträge vorhanden!
In AppTask search/appseq/sobelv.seq(228) sind aus ProtTask search/taskseq/v1x4smul_SIMD.seq (2287)  221 Einträge vorhanden!
In AppTask search/appseq/sobelv.seq(228) sind aus ProtTask search/taskseq/dmem.seq (2091)  221 Einträge vorhanden!
In AppTask search/appseq/sobelv.seq(228) sind aus ProtTask search/taskseq/dsub64_SIMD.seq (2114)  221 Einträge vorhanden!
In AppTask search/appseq/sobelv.seq(228) sind aus ProtTask search/taskseq/dadd.seq (2062)  221 Einträge vorhanden!
In AppTask search/appseq/sobelv.seq(228) sind aus ProtTask search/taskseq/m4x4smul_SIMD.seq (2328)  221 Einträge vorhanden!
In AppTask search/appseq/sobelv.seq(228) sind aus ProtTask search/taskseq/dmul64_SIMD.seq (2114)  221 Einträge vorhanden!
In AppTask search/appseq/sobelv.seq(228) sind aus ProtTask search/taskseq/dmul.seq (2062)  221 Einträge vorhanden!
In AppTask search/appseq/sobelv.seq(228) sind aus ProtTask search/taskseq/m4x4smul.seq (1999)  221 Einträge vorhanden!
In AppTask search/appseq/sobelv.seq(228) sind aus ProtTask search/taskseq/iadd.seq (2039)  221 Einträge vorhanden!
In AppTask search/appseq/sobelv.seq(228) sind aus ProtTask search/taskseq/logic.seq (2036)  221 Einträge vorhanden!
In AppTask search/appseq/sobelv.seq(228) sind aus ProtTask search/taskseq/imul.seq (2071)  221 Einträge vorhanden!
In AppTask search/appseq/sobelv.seq(228) sind aus ProtTask search/taskseq/dmem64_SIMD.seq (2081)  221 Einträge vorhanden!
In AppTask search/appseq/sobelv.seq(228) sind aus ProtTask search/taskseq/ssub32_SIMD.seq (2114)  221 Einträge vorhanden!
In AppTask search/appseq/sobelv.seq(228) sind aus ProtTask search/taskseq/vmov_SIMD.seq (2157)  221 Einträge vorhanden!
In AppTask search/appseq/sobelv.seq(228) sind aus ProtTask search/taskseq/smul32_SIMD.seq (2114)  221 Einträge vorhanden!
In AppTask search/appseq/sobelv.seq(228) sind aus ProtTask search/taskseq/shift.seq (1996)  221 Einträge vorhanden!
In AppTask search/appseq/sobelv.seq(228) sind aus ProtTask search/taskseq/empty.seq (1373)  206 Einträge vorhanden!
In AppTask search/appseq/sobelv.seq(228) sind aus ProtTask search/taskseq/smem32_SIMD.seq (45)  29 Einträge vorhanden!

In AppTask search/appseq/checkcontrast.seq(1922) sind aus ProtTask search/taskseq/nop.seq (1999)  1847 Einträge vorhanden!
In AppTask search/appseq/checkcontrast.seq(1922) sind aus ProtTask search/taskseq/vconvert_SIMD.seq (2090)  1847 Einträge vorhanden!
In AppTask search/appseq/checkcontrast.seq(1922) sind aus ProtTask search/taskseq/imov.seq (1996)  1847 Einträge vorhanden!
In AppTask search/appseq/checkcontrast.seq(1922) sind aus ProtTask search/taskseq/imem.seq (2080)  1851 Einträge vorhanden!
In AppTask search/appseq/checkcontrast.seq(1922) sind aus ProtTask search/taskseq/icompare.seq (2095)  1849 Einträge vorhanden!
In AppTask search/appseq/checkcontrast.seq(1922) sind aus ProtTask search/taskseq/branch.seq (1997)  1848 Einträge vorhanden!
In AppTask search/appseq/checkcontrast.seq(1922) sind aus ProtTask search/taskseq/bitbyte.seq (2037)  1851 Einträge vorhanden!
In AppTask search/appseq/checkcontrast.seq(1922) sind aus ProtTask search/taskseq/v1x4smul_SIMD.seq (2287)  1857 Einträge vorhanden!
In AppTask search/appseq/checkcontrast.seq(1922) sind aus ProtTask search/taskseq/dmem.seq (2091)  1856 Einträge vorhanden!
In AppTask search/appseq/checkcontrast.seq(1922) sind aus ProtTask search/taskseq/dsub64_SIMD.seq (2114)  1847 Einträge vorhanden!
In AppTask search/appseq/checkcontrast.seq(1922) sind aus ProtTask search/taskseq/dadd.seq (2062)  1847 Einträge vorhanden!
In AppTask search/appseq/checkcontrast.seq(1922) sind aus ProtTask search/taskseq/m4x4smul_SIMD.seq (2328)  1868 Einträge vorhanden!
In AppTask search/appseq/checkcontrast.seq(1922) sind aus ProtTask search/taskseq/dmul64_SIMD.seq (2114)  1847 Einträge vorhanden!
In AppTask search/appseq/checkcontrast.seq(1922) sind aus ProtTask search/taskseq/dmul.seq (2062)  1847 Einträge vorhanden!
In AppTask search/appseq/checkcontrast.seq(1922) sind aus ProtTask search/taskseq/m4x4smul.seq (1999)  1851 Einträge vorhanden!
In AppTask search/appseq/checkcontrast.seq(1922) sind aus ProtTask search/taskseq/iadd.seq (2039)  1859 Einträge vorhanden!
In AppTask search/appseq/checkcontrast.seq(1922) sind aus ProtTask search/taskseq/logic.seq (2036)  1847 Einträge vorhanden!
In AppTask search/appseq/checkcontrast.seq(1922) sind aus ProtTask search/taskseq/imul.seq (2071)  1861 Einträge vorhanden!
In AppTask search/appseq/checkcontrast.seq(1922) sind aus ProtTask search/taskseq/dmem64_SIMD.seq (2081)  1866 Einträge vorhanden!
In AppTask search/appseq/checkcontrast.seq(1922) sind aus ProtTask search/taskseq/ssub32_SIMD.seq (2114)  1847 Einträge vorhanden!
In AppTask search/appseq/checkcontrast.seq(1922) sind aus ProtTask search/taskseq/vmov_SIMD.seq (2157)  1862 Einträge vorhanden!
In AppTask search/appseq/checkcontrast.seq(1922) sind aus ProtTask search/taskseq/smul32_SIMD.seq (2114)  1847 Einträge vorhanden!
In AppTask search/appseq/checkcontrast.seq(1922) sind aus ProtTask search/taskseq/shift.seq (1996)  1848 Einträge vorhanden!
In AppTask search/appseq/checkcontrast.seq(1922) sind aus ProtTask search/taskseq/empty.seq (1373)  1373 Einträge vorhanden!
In AppTask search/appseq/checkcontrast.seq(1922) sind aus ProtTask search/taskseq/smem32_SIMD.seq (45)  37 Einträge vorhanden!

