Auffälligkeiten:
- die kleineren Tasks checkcontrast, loadimage und wirteimage weichen weiterhin erheblich ab
- bei sobelv/sobelh  gibt es bei 2 core eine höhere Abweichung, bei 3 core teilweise wieder näher, aber einzelne Messungen weichen erheblich ab
- grundsätzlich - die drei Messungen müssten immer annähernd gleich sein

CPUFrequency;Parallelism;apptask;apptaskduration;apptaskpower;estimationOneToOne;estimationOneToMany;diffOneToOne;diffOneToMany
2400;1;checkcontrast;4937 MS;5247 MJ/MS;4601 MJ/MS;3948 MJ/MS;-12.3118%;-24.757%;
2400;1;checkcontrast;3302 MS;5252 MJ/MS;4573 MJ/MS;3957 MJ/MS;-12.9284%;-24.6573%;
2400;1;checkcontrast;3309 MS;5194 MJ/MS;4693 MJ/MS;3943 MJ/MS;-9.64575%;-24.0855%;

2400;1;loadimage;1983 MS;5777 MJ/MS;4158 MJ/MS;3648 MJ/MS;-28.0249%;-36.853%;
2400;1;loadimage;1736 MS;5755 MJ/MS;4141 MJ/MS;3657 MJ/MS;-28.0452%;-36.4553%;
2400;1;loadimage;1971 MS;5790 MJ/MS;4163 MJ/MS;3640 MJ/MS;-28.1002%;-37.133%;

2400;1;greyscale;4976 MS;4782 MJ/MS;5119 MJ/MS;4868 MJ/MS;7.04726%;1.79841%;
2400;1;greyscale;4876 MS;4741 MJ/MS;5098 MJ/MS;4845 MJ/MS;7.53006%;2.19363%;
2400;1;greyscale;4973 MS;4759 MJ/MS;5091 MJ/MS;4865 MJ/MS;6.97626%;2.22736%;

2400;1;sharpencontrast;4880 MS;4662 MJ/MS;3895 MJ/MS;4530 MJ/MS;-16.4522%;-2.8314%;
2400;1;sharpencontrast;4886 MS;4671 MJ/MS;3887 MJ/MS;4497 MJ/MS;-16.7844%;-3.72511%;
2400;1;sharpencontrast;4885 MS;4657 MJ/MS;3853 MJ/MS;4491 MJ/MS;-17.2643%;-3.56453%;

2400;1;copyimage;4582 MS;4704 MJ/MS;5076 MJ/MS;4810 MJ/MS;7.90816%;2.2534%;
